row_id,claim_id,source_id,source_file,page,entry_no,name,venue_type,section,street_address,locality,region,island,country,phone,website_printed,website_corrected,maps_search_string,google_place_id,latitude,longitude,poi_match_status,entry_type,area_or_cluster,parse_confidence,candidate_status,triage_status,description,flags_notes
VEN-011,CLM-017,SRC-MLT-001,Malta-1.pdf (1 of 3),3,,Trabuxu Bistro,Restaurant,(photo plate),,,,,Malta,,,,"Trabuxu Bistro, Malta",,,,unresolved,venue,no,low,stub,untriaged,Appears only as a full-page photo caption; no numbered text entry on this page.,Caption-only mention; reconcile with a numbered entry if one appears in another file/page.
VEN-012,CLM-018,SRC-MLT-001,Malta-1.pdf (1 of 3),12,273,Birgu Wharf,Dining area (multi-venue),Dining with a Sea View,Xatt il-Forn,Vittoriosa,Southeast Malta,Malta,Malta,,,,"Birgu Wharf, Vittoriosa, Malta",,,,unresolved,area,yes,high,stub,untriaged,"Modernised wharf of Vittoriosa (former HQ of the Knights' and British Navy fleets); several places for lunch or dinner overlooking Dockyard Creek; restaurants serve local snacks, pizzas, fish and meat.","AREA/cluster of restaurants, not a single venue; triage should decide. Street: Xatt il-Forn"
VEN-013,CLM-019,SRC-MLT-001,Malta-1.pdf (1 of 3),12,274,Coast @ Cassarini,Restaurant,Dining with a Sea View,Triq Is-Sajjieda,Qrendi,South Malta,Malta,Malta,+356 9920 7911,coast-com.mt,coast.com.mt,"Coast @ Cassarini, Qrendi, Malta",,,,unresolved,venue,no,high,stub,untriaged,Where land meets shoreline; terrace with scenery and sunset; traditional food with international influence; small hamlet around a creek; near the Blue Grotto.,"Locality Wied iz-Zurrieq, Qrendi. Website 'coast-com.mt' may be a typo for coast.com.mt; verify. Street: Triq Is-Sajjieda"
VEN-014,CLM-020,SRC-MLT-001,Malta-1.pdf (1 of 3),12,275,Tartarun,Restaurant,Dining with a Sea View,20 Xatt is-Sajjieda,Marsaxlokk,Southeast Malta,Malta,Malta,+356 2165 8089,tartarun.com,tartarun.com,"Tartarun, Marsaxlokk, Malta",,,,unresolved,venue,no,high,stub,untriaged,"In Malta's largest fishing village; one of the best fish restaurants on the island; varied menu of traditional and culinary delights, nice wine list; booking recommended.",Street: 20 Xatt is-Sajjieda
VEN-015,CLM-021,SRC-MLT-001,Malta-1.pdf (1 of 3),13,276,Hammett's Macina,Restaurant,Dining with a Sea View,"Triq il-31 Ta' Marzu, Xatt Juan B Azopardo",Senglea,Southeast Malta,Malta,Malta,+356 2779 4171,hammettsmacina.com,hammettsmacina.com,"Hammett's Macina, Senglea, Malta",,,,unresolved,venue,no,high,stub,untriaged,Historic building on a busy creek in the Three Cities; menu mixes local culinary traditions with the European and Mediterranean influences of past occupiers; 'a taste of history'.,"Street: Triq il-31 Ta' Marzu, Xatt Juan B Azopardo"
VEN-016,CLM-022,SRC-MLT-001,Malta-1.pdf (1 of 3),13,277,Senglea Wharf,Dining area (multi-venue),Dining with a Sea View,Xatt Juan B Azopardo,Senglea,Southeast Malta,Malta,Malta,,,,"Senglea Wharf, Senglea, Malta",,,,unresolved,area,yes,high,stub,untriaged,"Faces Vittoriosa; wharf lined with eateries, most with indoor or outdoor seating; busy in summer; bustling seafront with entertainment.","AREA/cluster, not a single venue. Street: Xatt Juan B Azopardo"
VEN-017,CLM-023,SRC-MLT-001,Malta-1.pdf (1 of 3),13,278,Valletta Waterfront,Dining area (multi-venue),Dining with a Sea View,Triq il-Vittmi tal-Gwerra Furjanizi,Floriana,Southeast Malta,Malta,Malta,,,,"Valletta Waterfront, Floriana, Malta",,,,unresolved,area,yes,high,stub,untriaged,18th-century warehouses modernised for the cruise-liner terminal and converted into restaurants; faces the Grand Harbour; wide variety of food; popular for lunch or dinner; very popular with locals.,"AREA/cluster, not a single venue. Street: Triq il-Vittmi tal-Gwerra Furjanizi"
VEN-018,CLM-024,SRC-MLT-001,Malta-1.pdf (1 of 3),14,279,Culto Caffetteria-Panineria,Cafe,Lunch & Brunch,49 St John's St,Valletta,Valletta,Malta,Malta,+356 2749 6810,,,"Culto Caffetteria-Panineria, Valletta, Malta",,,,unresolved,venue,no,high,stub,untriaged,Small Italian-style cafe in baroque Valletta; a good place to stop for a sandwich between visits to the city's sites.,Page was photographed rotated. Street: 49 St John's St
VEN-019,CLM-025,SRC-MLT-001,Malta-1.pdf (1 of 3),14,280,Giorgio's Cafeteria,Cafe,Lunch & Brunch,17 Tigne St,Sliema,Central Malta,Malta,Malta,+356 2134 2456,,,"Giorgio's Cafeteria, Sliema, Malta",,,,unresolved,venue,no,high,stub,untriaged,"In central Sliema's shopping area; good lunches, snacks and sweets; large portions; popular with locals; can be hard to get a seat; open till late and good for a late dinner.",Street: 17 Tigne St
VEN-020,CLM-026,SRC-MLT-001,Malta-1.pdf (1 of 3),16,281,Carob Tree,Food court / market,Places for Foodies,Triq Mikiel'Ang Borg,St Julian's,Central Malta,Malta,Malta,+356 9947 0460,carobtree.com.mt,carobtree.com.mt,"Carob Tree, St Julian's, Malta",,,,unresolved,food_court,yes,high,stub,untriaged,A food court in the centre of St Julian's; 11 kitchens and bars offering a wide range of food and drinks; near the St Julian's coastline; good afternoon or evening stop.,Food court / multi-vendor destination. Photo on page 15. Street: Triq Mikiel'Ang Borg
VEN-021,CLM-027,SRC-MLT-001,Malta-1.pdf (1 of 3),16,282,Is-Suq tal-Belt,Food court / market,Places for Foodies,Merchants St,Valletta,Valletta,Malta,Malta,+356 2210 3500,,,"Is-Suq tal-Belt, Valletta, Malta",,,,unresolved,food_court,yes,high,stub,untriaged,Food court in the restored 19th-century Valletta market; several restaurants from snacks to meat and fresh fish; seating all around including outside; supermarket on the lower level.,Food court / market hall. Photo on page 15. Street: Merchants St
VEN-022,CLM-031,SRC-MLT-001,Malta-1.pdf (1 of 3),19,286,Chocolate District,Chocolatier / cafe,Unusual places to eat,Melita St,Valletta,Valletta,Malta,Malta,+356 2788 8668,choclatedistrict.com,chocolatedistrict.com,"Chocolate District, Valletta, Malta",,,,unresolved,venue,no,high,stub,untriaged,"One of the latest outlets specialising in chocolate and its by-products; international and local varieties; a small, intimate cafeteria for a coffee while sampling.",Website printed as 'choclatedistrict.com' (sic) - likely typo for chocolatedistrict.com; verify. Street: Melita St
VEN-023,CLM-032,SRC-MLT-001,Malta-1.pdf (1 of 3),20,287,Ambrosia,Restaurant,Unusual places to eat,137 Archbishop St,Valletta,Valletta,Malta,Malta,+356 2122 5923,ambrosia.com.mt,ambrosia.com.mt,"Ambrosia, Valletta, Malta",,,,unresolved,venue,no,high,stub,untriaged,In the centre of Valletta next to the Grand Master's Palace; a dining experience with a twist; different ambience; delicious food and sizeable portions.,Street: 137 Archbishop St
VEN-024,CLM-033,SRC-MLT-001,Malta-1.pdf (1 of 3),20,288,Cafe Jubilee,Cafe,Unusual places to eat,Independence Square,Victoria,Gozo,Gozo,Malta,+356 2133 7141,,,"Cafe Jubilee, Victoria, Gozo",,,,unresolved,venue,no,high,stub,untriaged,"Original concept started in Gozo, now several outlets (some abroad); nostalgic interior with theatre posters and hanging items; good, different, tasty food; indoor and outdoor seating on Victoria's main square.","CHAIN/multiple outlets; this entry is the Victoria, Gozo outlet. Street: Independence Square"
VEN-025,CLM-034,SRC-MLT-001,Malta-1.pdf (1 of 3),20,289,Del Borgo,Wine bar / eatery,Unusual places to eat,33 St Dominic St,Vittoriosa,Southeast Malta,Malta,Malta,+356 9944 7954,delborgomalta.com,delborgomalta.com,"Del Borgo, Vittoriosa, Malta",,,,unresolved,venue,no,high,stub,untriaged,"In the quiet narrow streets of Vittoriosa; a wine bar and eatery in an old building; seating both for dining and for socialising over wine, cheese and nibbles; very popular with locals.",Street: 33 St Dominic St
VEN-026,CLM-035,SRC-MLT-001,Malta-1.pdf (1 of 3),21,290,Fontanella Tea Garden,Tea garden / cafe,Unusual places to eat,1 Bastion St,Mdina,Northwest Malta,Malta,Malta,+356 2145 4264,fontanellateagarden.com,fontanellateagarden.com,"Fontanella Tea Garden, Mdina, Malta",,,,unresolved,venue,no,high,stub,untriaged,"Coffee, a beer or a drink on the bastions of medieval Mdina with magnificent views; popular cakes; a wine bar next door, good in the evening when Mdina is quieter; a favourite.",Street: 1 Bastion St
VEN-027,CLM-036,SRC-MLT-001,Malta-1.pdf (1 of 3),21,291,Victory Cafe,Cafe,Unusual places to eat,Couvre Porte,Vittoriosa,Southeast Malta,Malta,Malta,+356 2180 0992,maltaatwarmuseum.com,maltaatwarmuseum.com,"Victory Cafe, Vittoriosa, Malta",,,,unresolved,venue,no,high,stub,untriaged,Inside one of Malta's best war museums (rock-cut shelters); a coffee or beer in a decorated coffee shop; memorabilia and a small book shop.,Cafe sited within the Malta at War Museum; website is the museum's - POI/identity nuance. Address: Couvre Porte
VEN-028,CLM-037,SRC-MLT-001,Malta-1.pdf (1 of 3),21,292,Ta' Rinaldu,Restaurant,Unusual places to eat,220 Merchants St,Valletta,Valletta,Malta,Malta,+356 7745 6677,tarinaldu.com,tarinaldu.com,"Ta' Rinaldu, Valletta, Malta",,,,unresolved,venue,no,high,stub,untriaged,A break from Valletta's museums and churches; lunch or nibbles; limited outdoor seating; interesting 17th-18th century interior; a wide range of snacks.,Street: 220 Merchants St
VEN-029,CLM-038,SRC-MLT-001,Malta-1.pdf (1 of 3),22,293,Stazzjon Restaurant,Restaurant,Unusual places to eat,Triq Ghajn Hammam,Rabat,Northwest Malta,Malta,Malta,+356 2145 1984,,,"Stazzjon Restaurant, Rabat, Malta",,,,unresolved,venue,no,high,stub,untriaged,"In an old railway station (line closed 1931); interior decorated with old railway photos; combines the old station with modern sections; good parking, away from busy Mdina/Rabat; a varied lunch and dinner menu.",Street: Triq Ghajn Hammam
VEN-030,CLM-039,SRC-MLT-001,Malta-1.pdf (1 of 3),22,294,Il Veduta Pizzeria and Restaurant,Pizzeria / restaurant,Unusual places to eat,,Rabat,Northwest Malta,Malta,Malta,+356 2145 4666,veduta.com.mt,veduta.com.mt,"Il Veduta Pizzeria and Restaurant, Rabat, Malta",,,,unresolved,venue,no,high,stub,untriaged,"A magnificent view over much of Malta, great by day and better at night with village lights; may catch fireworks during summer village feasts; a good menu for all tastes.","Locality Is-Saqqajja, Rabat"
VEN-031,CLM-040,SRC-MLT-001,Malta-1.pdf (1 of 3),24,295,Danny's Malta,Restaurant,Places with good Vegetarian options,Imriehel Bypass,Qormi,South Malta,Malta,Malta,+356 2144 1171,dannys.com.mt,dannys.com.mt,"Danny's Malta, Qormi, Malta",,,,unresolved,venue,no,high,stub,untriaged,Something different for lunch or a snack; also serves gluten-free and vegetarian food prepared in a modern way; book a table or order online for takeaway.,Photo on page 23. Street: Imriehel Bypass
VEN-032,CLM-041,SRC-MLT-001,Malta-1.pdf (1 of 3),24,296,Sapana Indian,Restaurant (Indian),Places with good Vegetarian options,Triq il-Ghajn,Xlendi,Gozo,Gozo,Malta,+356 2156 2100,sapanarestaurant.com,sapanarestaurant.com,"Sapana Indian, Xlendi, Gozo",,,,unresolved,venue,no,high,stub,untriaged,Name means 'dream'; located a few metres from the bay of Xlendi; described as the only Indian restaurant in Gozo; vegetarian options.,Street: Triq il-Ghajn
VEN-033,CLM-042,SRC-MLT-001,Malta-1.pdf (1 of 3),24,297,Soul Food,Restaurant,Places with good Vegetarian options,76 Merchants St,Valletta,Valletta,Malta,Malta,+356 2123 4311,,,"Soul Food, Valletta, Malta",,,,unresolved,venue,no,high,stub,untriaged,Tasty and healthy food including vegetarian and Indian-inspired dishes; on a main street of Valletta behind the Grand Master's Palace; near the city's cultural and historical venues.,Street: 76 Merchants St
